"Url","Web_Title","Web_Url","Web_Creation_Date","Web_Last_Item_Modified","ListName","List_BaseType","List_BaseTemplate","List_ItemCount","List_LastItemModifiedDate"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","appdata","GenericList","125","0","10/10/2019 9:03:20 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","appfiles","DocumentLibrary","126","0","10/10/2019 9:03:20 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Composed Looks","GenericList","124","18","10/10/2019 9:03:20 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Converted Forms","DocumentLibrary","10102","0","10/23/2019 5:50:50 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Documents","DocumentLibrary","101","2","10/23/2019 5:53:25 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Form Templates","DocumentLibrary","101","0","10/10/2019 9:03:42 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","List Template Gallery","DocumentLibrary","114","0","10/10/2019 9:03:18 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Master Page Gallery","DocumentLibrary","116","77","10/10/2019 9:03:48 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Site Pages","DocumentLibrary","119","1","10/10/2019 9:03:47 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Solution Gallery","DocumentLibrary","121","0","10/10/2019 9:03:15 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Style Library","DocumentLibrary","101","0","10/10/2019 9:03:19 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","TaxonomyHiddenList","GenericList","100","0","10/10/2019 9:03:43 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Theme Gallery","DocumentLibrary","123","41","10/10/2019 9:03:26 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","User Information List","GenericList","112","7","10/10/2019 9:03:45 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","10/23/2019 5:53:25 AM","Web Part Gallery","DocumentLibrary","113","22","10/10/2019 9:03:42 AM"
